K00001	E1.1.1.1	alcohol dehydrogenase
K00055	E1.1.1.90	aryl-alcohol dehydrogenase
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058	serA	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase
K00060	tdh	threonine 3-dehydrogenase
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
K00066	algD	GDP-mannose 6-dehydrogenase
K00067	rfbD	dTDP-4-dehydrorhamnose reductase
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase
K00073	allD	ureidoglycolate dehydrogenase (NAD+)
K00074	paaH	3-hydroxybutyryl-CoA dehydrogenase
K00075	murB	UDP-N-acetylmuramate dehydrogenase
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase
K00077	panE	2-dehydropantoate 2-reductase
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase
K00086	dhaT	1,3-propanediol dehydrogenase
K00087	ygeS	xanthine dehydrogenase molybdenum-binding subunit
K00088	IMPDH	IMP dehydrogenase
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase
K00091	E1.1.1.219	dihydroflavonol-4-reductase
K00093	mdh	methanol dehydrogenase
K00094	E1.1.1.251	galactitol-1-phosphate 5-dehydrogenase
K00096	araM	glycerol-1-phosphate dehydrogenase [NAD(P)+]
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase
K00098	idnD	L-idonate 5-dehydrogenase
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase
K00100	bdhAB	butanol dehydrogenase
K00101	lldD	L-lactate dehydrogenase (cytochrome)
K00102	LDHD	D-lactate dehydrogenase (cytochrome)
K00104	glcD	glycolate dehydrogenase FAD-linked subunit
K00105	E1.1.3.21	alpha-glycerophosphate oxidase
K00108	betA	choline dehydrogenase
K00111	glpA	glycerol-3-phosphate dehydrogenase
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C
K00114	exaA	alcohol dehydrogenase (cytochrome c)
K00116	mqo	malate dehydrogenase (quinone)
K00117	gcd	quinoprotein glucose dehydrogenase
K00121	frmA	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	FDH	formate dehydrogenase
K00123	fdoG	formate dehydrogenase major subunit
K00124	fdoH	formate dehydrogenase iron-sulfur subunit
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00127	fdoI	formate dehydrogenase subunit gamma
K00128	ALDH	aldehyde dehydrogenase (NAD+)
K00130	betB	betaine-aldehyde dehydrogenase
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating)
K00133	asd	aspartate-semialdehyde dehydrogenase
K00134	GAPDH	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00137	prr	aminobutyraldehyde dehydrogenase
K00138	aldB	aldehyde dehydrogenase
K00140	mmsA	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00141	xylC	benzaldehyde dehydrogenase (NAD)
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase
K00146	feaB	phenylacetaldehyde dehydrogenase
K00147	proA	glutamate-5-semialdehyde dehydrogenase
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)
K00151	hpaE	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase
K00156	poxB	pyruvate dehydrogenase (quinone)
K00158	spxB	pyruvate oxidase
K00161	PDHA	pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB	pyruvate dehydrogenase E1 component beta subunit
K00163	aceE	pyruvate dehydrogenase E1 component
K00164	OGDH	2-oxoglutarate dehydrogenase E1 component
K00166	BCKDHA	2-oxoisovalerate dehydrogenase E1 component alpha subunit
K00167	BCKDHB	2-oxoisovalerate dehydrogenase E1 component beta subunit
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	porC	pyruvate ferredoxin oxidoreductase gamma subunit
K00174	korA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00176	korD	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	korC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit
K00184	dmsB	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	dmsC	dimethyl sulfoxide reductase membrane subunit
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit
K00188	vorD	2-oxoisovalerate ferredoxin oxidoreductase delta subunit
K00189	vorG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha
K00194	cdhD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	cdhE	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma
K00198	cooS	anaerobic carbon-monoxide dehydrogenase catalytic subunit
K00200	fwdA	formylmethanofuran dehydrogenase subunit A
K00201	fwdB	formylmethanofuran dehydrogenase subunit B
K00202	fwdC	formylmethanofuran dehydrogenase subunit C
K00203	fwdD	formylmethanofuran dehydrogenase subunit D
K00204	fwdH	4Fe-4S ferredoxin
K00205	fwdF	4Fe-4S ferredoxin
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+)
K00208	fabI	enoyl-[acyl-carrier protein] reductase I
K00209	fabV	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase
K00216	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
K00218	por	protochlorophyllide reductase
K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2)
K00220	tyrC	cyclohexadieny/prephenate dehydrogenase
K00221	E4.99.1.2	alkylmercury lyase
K00226	pyrD	dihydroorotate dehydrogenase (fumarate)
K00228	CPOX	coproporphyrinogen III oxidase
K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase
K00231	PPOX	protoporphyrinogen/coproporphyrinogen III oxidase
K00232	E1.3.3.6	acyl-CoA oxidase
K00239	sdhA	succinate dehydrogenase flavoprotein subunit
K00240	sdhB	succinate dehydrogenase iron-sulfur subunit
K00241	sdhC	succinate dehydrogenase cytochrome b subunit
K00242	sdhD	succinate dehydrogenase membrane anchor subunit
K00243	K00243	uncharacterized protein
K00244	frdA	succinate dehydrogenase flavoprotein subunit
K00245	frdB	succinate dehydrogenase iron-sulfur subunit
K00246	frdC	succinate dehydrogenase subunit C
K00247	frdD	succinate dehydrogenase subunit D
K00248	ACADS	butyryl-CoA dehydrogenase
K00249	ACADM	acyl-CoA dehydrogenase
K00252	GCDH	glutaryl-CoA dehydrogenase
K00253	IVD	isovaleryl-CoA dehydrogenase
K00254	DHODH	dihydroorotate dehydrogenase
K00257	mbtN, fadE14	acyl-ACP dehydrogenase
K00259	ald	alanine dehydrogenase
K00260	gudB	glutamate dehydrogenase
K00261	GLUD1_2	glutamate dehydrogenase (NAD(P)+)
K00262	E1.4.1.4	glutamate dehydrogenase (NADP+)
K00263	E1.4.1.9	leucine dehydrogenase
K00265	gltB	glutamate synthase (NADPH) large chain
K00266	gltD	glutamate synthase (NADPH) small chain
K00274	MAO	monoamine oxidase
K00275	pdxH	pyridoxamine 5'-phosphate oxidase
K00276	AOC3	primary-amine oxidase
K00278	nadB	L-aspartate oxidase
K00281	GLDC	glycine dehydrogenase
K00282	gcvPA	glycine dehydrogenase subunit 1
K00283	gcvPB	glycine dehydrogenase subunit 2
K00284	GLU	glutamate synthase (ferredoxin)
K00285	dadA	D-amino-acid dehydrogenase
K00286	proC	pyrroline-5-carboxylate reductase
K00287	DHFR	dihydrofolate reductase
K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming)
K00293	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming)
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase
K00297	metF	methylenetetrahydrofolate reductase (NADH)
K00298	ceo	N5-(carboxyethyl)ornithine synthase
K00299	ssuE	FMN reductase
K00301	E1.5.3.1	sarcosine oxidase
K00302	soxA	sarcosine oxidase, subunit alpha
K00303	soxB	sarcosine oxidase, subunit beta
K00304	soxD	sarcosine oxidase, subunit delta
K00305	soxG	sarcosine oxidase, subunit gamma
K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase
K00315	DMGDH	dimethylglycine dehydrogenase
K00316	spdH	spermidine dehydrogenase
K00318	PRODH	proline dehydrogenase
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase
K00320	mer	5,10-methylenetetrahydromethanopterin reductase
K00322	sthA	NAD(P) transhydrogenase
K00324	pntA	H+-translocating NAD(P) transhydrogenase subunit alpha
K00325	pntB	H+-translocating NAD(P) transhydrogenase subunit beta
K00330	nuoA	NADH-quinone oxidoreductase subunit A
K00331	nuoB	NADH-quinone oxidoreductase subunit B
K00332	nuoC	NADH-quinone oxidoreductase subunit C
K00333	nuoD	NADH-quinone oxidoreductase subunit D
K00334	nuoE	NADH-quinone oxidoreductase subunit E
K00335	nuoF	NADH-quinone oxidoreductase subunit F
K00336	nuoG	NADH-quinone oxidoreductase subunit G
K00337	nuoH	NADH-quinone oxidoreductase subunit H
K00338	nuoI	NADH-quinone oxidoreductase subunit I
K00339	nuoJ	NADH-quinone oxidoreductase subunit J
K00340	nuoK	NADH-quinone oxidoreductase subunit K
K00341	nuoL	NADH-quinone oxidoreductase subunit L
K00342	nuoM	NADH-quinone oxidoreductase subunit M
K00343	nuoN	NADH-quinone oxidoreductase subunit N
K00344	qor, CRYZ	NADPH:quinone reductase
K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A
K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B
K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C
K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D
K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E
K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F
K00354	E1.6.99.1	NADPH2 dehydrogenase
K00355	NQO1	NAD(P)H dehydrogenase (quinone)
K00360	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	nirB	nitrite reductase (NADH) large subunit
K00363	nirD	nitrite reductase (NADH) small subunit
K00364	guaC	GMP reductase
K00366	nirA	ferredoxin-nitrite reductase
K00367	narB	ferredoxin-nitrate reductase
K00368	nirK	nitrite reductase (NO-forming)
K00370	narG	nitrate reductase / nitrite oxidoreductase, alpha subunit
K00371	narH	nitrate reductase / nitrite oxidoreductase, beta subunit
K00372	nasC	assimilatory nitrate reductase catalytic subunit
K00373	narJ	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	narI	nitrate reductase gamma subunit
K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ	nitrous-oxide reductase
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component
K00382	DLD	dihydrolipoamide dehydrogenase
K00383	GSR	glutathione reductase (NADPH)
K00384	trxB	thioredoxin reductase (NADPH)
K00385	asrC	anaerobic sulfite reductase subunit C
K00389	yidH	putative membrane protein
K00390	cysH	phosphoadenosine phosphosulfate reductase
K00392	sir	sulfite reductase (ferredoxin)
K00394	aprA	adenylylsulfate reductase, subunit A
K00395	aprB	adenylylsulfate reductase, subunit B
K00399	mcrA	methyl-coenzyme M reductase alpha subunit
K00400	NA	methyl coenzyme M reductase system
K00401	mcrB	methyl-coenzyme M reductase beta subunit
K00402	mcrG	methyl-coenzyme M reductase gamma subunit
K00404	ccoN	cytochrome c oxidase cbb3-type subunit I
K00405	ccoO	cytochrome c oxidase cbb3-type subunit II
K00406	ccoP	cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV
K00411	UQCRFS1	ubiquinol-cytochrome c reductase iron-sulfur subunit
K00412	CYTB	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00425	cydA	cytochrome bd ubiquinol oxidase subunit I
K00426	cydB	cytochrome bd ubiquinol oxidase subunit II
K00427	lldP, lctP	L-lactate permease
K00428	E1.11.1.5	cytochrome c peroxidase
K00432	gpx	glutathione peroxidase
K00433	cpo	non-heme chloroperoxidase
K00435	hemQ	hydrogen peroxide-dependent heme synthase
K00437	hydB	[NiFe] hydrogenase large subunit
K00440	frhA	coenzyme F420 hydrogenase subunit alpha
K00441	frhB	coenzyme F420 hydrogenase subunit beta
K00442	frhD	coenzyme F420 hydrogenase subunit delta
K00443	frhG	coenzyme F420 hydrogenase subunit gamma
K00446	dmpB	catechol 2,3-dioxygenase
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit
K00449	pcaH	protocatechuate 3,4-dioxygenase, beta subunit
K00450	E1.13.11.4	gentisate 1,2-dioxygenase
K00451	HGD	homogentisate 1,2-dioxygenase
K00453	TDO2	tryptophan 2,3-dioxygenase
K00455	hpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase
K00456	CDO1	cysteine dioxygenase
K00457	HPD	4-hydroxyphenylpyruvate dioxygenase
K00459	ncd2	nitronate monooxygenase
K00466	iaaM	tryptophan 2-monooxygenase
K00467	E1.13.12.4	lactate 2-monooxygenase
K00476	ASPH	aspartate beta-hydroxylase
K00479	gbcA	glycine betaine monooxygenase A
K00480	E1.14.13.1	salicylate hydroxylase
K00481	pobA	p-hydroxybenzoate 3-monooxygenase
K00483	hpaB	4-hydroxyphenylacetate 3-monooxygenase
K00484	hpaC	flavin reductase (NADH)
K00491	nos	nitric-oxide synthase, bacterial
K00496	alkB1_2	alkane 1-monooxygenase
K00500	phhA	phenylalanine-4-hydroxylase
K00507	SCD	stearoyl-CoA desaturase (Delta-9 desaturase)
K00508	E1.14.19.3	linoleoyl-CoA desaturase
K00518	sodN	nickel superoxide dismutase
K00520	merA	mercuric reductase
K00523	ascD	CDP-4-dehydro-6-deoxyglucose reductase, E3
K00525	E1.17.4.1A	ribonucleoside-diphosphate reductase alpha chain
K00526	E1.17.4.1B	ribonucleoside-diphosphate reductase beta chain
K00527	rtpR	ribonucleoside-triphosphate reductase (thioredoxin)
K00528	fpr	ferredoxin/flavodoxin---NADP+ reductase
K00529	hcaD	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component
K00531	anfG	nitrogenase delta subunit
K00532	E1.12.7.2	ferredoxin hydrogenase
K00533	E1.12.7.2L	ferredoxin hydrogenase large subunit
K00534	E1.12.7.2S	ferredoxin hydrogenase small subunit
K00537	arsC	arsenate reductase (glutaredoxin)
K00543	ASMT	acetylserotonin O-methyltransferase
K00547	mmuM	homocysteine S-methyltransferase
K00548	metH	5-methyltetrahydrofolate--homocysteine methyltransferase
K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
K00554	trmD	tRNA (guanine37-N1)-methyltransferase
K00555	TRMT1, trm1	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
K00556	trmH	tRNA (guanosine-2'-O-)-methyltransferase
K00557	trmA	tRNA (uracil-5-)-methyltransferase
K00558	DNMT1	DNA (cytosine-5)-methyltransferase 1
K00560	thyA	thymidylate synthase
K00561	ermC, ermA	23S rRNA (adenine-N6)-dimethyltransferase
K00563	rlmA1	23S rRNA (guanine745-N1)-methyltransferase
K00564	rsmC	16S rRNA (guanine1207-N2)-methyltransferase
K00566	mnmA	tRNA-uridine 2-sulfurtransferase
K00567	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase
K00568	ubiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase
K00569	TPMT	thiopurine S-methyltransferase
K00570	pmtA	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase
K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific)
K00573	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase
K00574	cfa	cyclopropane-fatty-acyl-phospholipid synthase
K00575	cheR	chemotaxis protein methyltransferase CheR
K00577	mtrA	tetrahydromethanopterin S-methyltransferase subunit A
K00578	mtrB	tetrahydromethanopterin S-methyltransferase subunit B
K00579	mtrC	tetrahydromethanopterin S-methyltransferase subunit C
K00580	mtrD	tetrahydromethanopterin S-methyltransferase subunit D
K00581	mtrE	tetrahydromethanopterin S-methyltransferase subunit E
K00582	mtrF	tetrahydromethanopterin S-methyltransferase subunit F
K00583	mtrG	tetrahydromethanopterin S-methyltransferase subunit G
K00584	mtrH	tetrahydromethanopterin S-methyltransferase subunit H
K00588	E2.1.1.104	caffeoyl-CoA O-methyltransferase
K00590	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific)
K00595	cobL-cbiET	precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase
K00596	E4.1.1.64	2,2-dialkylglycine decarboxylase (pyruvate)
K00598	tam	trans-aconitate 2-methyltransferase
K00600	glyA	glycine hydroxymethyltransferase
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
K00603	fctD	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase
K00604	MTFMT	methionyl-tRNA formyltransferase
K00605	gcvT	aminomethyltransferase
K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase
K00609	pyrB	aspartate carbamoyltransferase catalytic subunit
K00610	pyrI	aspartate carbamoyltransferase regulatory subunit
K00611	OTC	ornithine carbamoyltransferase
K00612	nodU	carbamoyltransferase
K00613	GATM	glycine amidinotransferase
K00615	E2.2.1.1	transketolase
K00616	E2.2.1.2	transaldolase
K00619	argA	amino-acid N-acetyltransferase
K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase
K00621	GNPNAT1	glucosamine-phosphate N-acetyltransferase
K00622	nat	arylamine N-acetyltransferase
K00625	pta	phosphate acetyltransferase
K00626	ACAT	acetyl-CoA C-acetyltransferase
K00627	DLAT	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00631	plsB	glycerol-3-phosphate O-acyltransferase
K00632	fadA	acetyl-CoA acyltransferase
K00633	lacA	galactoside O-acetyltransferase
K00634	ptb	phosphate butyryltransferase
K00638	catB	chloramphenicol O-acetyltransferase type B
K00639	kbl	glycine C-acetyltransferase
K00640	cysE	serine O-acetyltransferase
K00641	metX	homoserine O-acetyltransferase/O-succinyltransferase
K00643	E2.3.1.37	5-aminolevulinate synthase
K00645	fabD	[acyl-carrier-protein] S-malonyltransferase
K00646	pksF	malonyl-ACP decarboxylase
K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I
K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III
K00651	metA	homoserine O-succinyltransferase/O-acetyltransferase
K00652	bioF	8-amino-7-oxononanoate synthase
K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase
K00656	E2.3.1.54	formate C-acetyltransferase
K00657	speG	diamine N-acetyltransferase
K00658	DLST	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K00661	maa	maltose O-acetyltransferase
K00662	aacC	aminoglycoside 3-N-acetyltransferase
K00663	aacA	aminoglycoside 6'-N-acetyltransferase
K00666	K00666	fatty-acyl-CoA synthase
K00672	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
K00673	astA	arginine N-succinyltransferase
K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
K00675	nhoA	N-hydroxyarylamine O-acetyltransferase
K00677	lpxA	UDP-N-acetylglucosamine acyltransferase
K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase
K00684	aat	leucyl/phenylalanyl-tRNA---protein transferase
K00686	tgl	protein-glutamine gamma-glutamyltransferase
K00687	pbp2B	penicillin-binding protein 2B
K00688	PYG	glycogen phosphorylase
K00689	E2.4.1.5	dextransucrase
K00690	E2.4.1.7	sucrose phosphorylase
K00691	mapA	maltose phosphorylase
K00692	sacB	levansucrase
K00693	GYS	glycogen synthase
K00694	bcsA	cellulose synthase (UDP-forming)
K00697	otsA	trehalose 6-phosphate synthase
K00700	GBE1	1,4-alpha-glucan branching enzyme
K00701	cgt	cyclomaltodextrin glucanotransferase
K00702	E2.4.1.20	cellobiose phosphorylase
K00703	glgA	starch synthase
K00705	malQ	4-alpha-glucanotransferase
K00712	tagE	poly(glycerol-phosphate) alpha-glucosyltransferase
K00713	waaD	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase
K00720	UGCG	ceramide glucosyltransferase
K00721	DPM1	dolichol-phosphate mannosyltransferase
K00737	MGAT3	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
K00748	lpxB	lipid-A-disaccharide synthase
K00750	GYG1	glycogenin
K00752	hasA	hyaluronan synthase
K00756	pdp	pyrimidine-nucleoside phosphorylase
K00757	udp	uridine phosphorylase
K00758	deoA	thymidine phosphorylase
K00759	APRT	adenine phosphoribosyltransferase
K00760	hprT	hypoxanthine phosphoribosyltransferase
K00761	upp	uracil phosphoribosyltransferase
K00762	pyrE	orotate phosphoribosyltransferase
K00763	pncB	nicotinate phosphoribosyltransferase
K00764	purF	amidophosphoribosyltransferase
K00765	hisG	ATP phosphoribosyltransferase
K00766	trpD	anthranilate phosphoribosyltransferase
K00767	nadC	nicotinate-nucleotide pyrophosphorylase (carboxylating)
K00768	E2.4.2.21	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
K00769	gpt	xanthine phosphoribosyltransferase
K00772	mtaP	5'-methylthioadenosine phosphorylase
K00773	tgt	queuine tRNA-ribosyltransferase
K00782	lldG	L-lactate dehydrogenase complex protein LldG
K00783	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase
K00784	rnz	ribonuclease Z
K00785	lst	N-acetyllactosaminide alpha-2,3-sialyltransferase
K00786	GALT29A	beta-1,6-galactosyltransferase
K00788	thiE	thiamine-phosphate pyrophosphorylase
K00789	metK	S-adenosylmethionine synthetase
K00790	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
K00791	miaA	tRNA dimethylallyltransferase
K00793	ribE	riboflavin synthase
K00794	ribH	6,7-dimethyl-8-ribityllumazine synthase
K00795	ispA	farnesyl diphosphate synthase
K00796	folP	dihydropteroate synthase
K00797	speE	spermidine synthase
K00798	MMAB	cob(I)alamin adenosyltransferase
K00799	GST	glutathione S-transferase
K00800	aroA	3-phosphoshikimate 1-carboxyvinyltransferase
K00801	FDFT1	farnesyl-diphosphate farnesyltransferase
K00803	AGPS	alkyldihydroxyacetonephosphate synthase
K00805	hepS	heptaprenyl diphosphate synthase component 1
K00806	uppS	undecaprenyl diphosphate synthase
K00808	hss	homospermidine synthase
K00809	DHPS, dys	deoxyhypusine synthase
K00812	aspB	aspartate aminotransferase
K00813	aspC	aspartate aminotransferase
K00814	GPT	alanine transaminase
K00817	hisC	histidinol-phosphate aminotransferase
K00819	rocD	ornithine--oxo-acid transaminase
K00820	glmS	glutamine---fructose-6-phosphate transaminase (isomerizing)
K00821	argD	acetylornithine/N-succinyldiaminopimelate aminotransferase
K00822	E2.6.1.18	beta-alanine--pyruvate transaminase
K00823	puuE	4-aminobutyrate aminotransferase
K00824	dat	D-alanine transaminase
K00826	E2.6.1.42	branched-chain amino acid aminotransferase
K00830	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
K00831	serC	phosphoserine aminotransferase
K00832	tyrB	aromatic-amino-acid transaminase
K00833	bioA	adenosylmethionine---8-amino-7-oxononanoate aminotransferase
K00835	avtA	valine--pyruvate aminotransferase
K00836	ectB	diaminobutyrate-2-oxoglutarate transaminase
K00839	pucG	(S)-ureidoglycine---glyoxylate transaminase
K00840	astC	succinylornithine aminotransferase
K00841	patA	aminotransferase
K00844	HK	hexokinase
K00845	glk	glucokinase
K00847	E2.7.1.4	fructokinase
K00848	rhaB	rhamnulokinase
K00849	galK	galactokinase
K00850	pfkA	6-phosphofructokinase 1
K00851	idnK	gluconokinase
K00852	rbsK	ribokinase
K00853	araB	L-ribulokinase
K00854	xylB	xylulokinase
K00855	PRK	phosphoribulokinase
K00856	ADK	adenosine kinase
K00857	tdk	thymidine kinase
